country_name,year,occupation,trust,neither,distrust
Argentina,2019,Other occupations,26.941176470588236,31.470588235294116,41.588235294117645
Argentina,2019,The police,26,33,41
Argentina,2021,Other occupations,25,38.529411764705884,36.470588235294116
Argentina,2021,The police,24,41,35
Argentina,2022,Other occupations,26.705882352941178,30.41176470588235,42.88235294117648
Argentina,2022,The police,20,34,46
Australia,2019,Other occupations,30.117647058823525,39.05882352941177,30.823529411764703
Australia,2019,The police,56,29,15
Australia,2021,Other occupations,32.705882352941174,39.294117647058826,28
Australia,2021,The police,52,30,18
Australia,2022,Other occupations,31.94117647058824,37.470588235294116,30.588235294117645
Australia,2022,The police,50,30,20
Belgium,2019,Other occupations,28.05882352941176,41.05882352941177,30.882352941176475
Belgium,2019,The police,44,39,17
Belgium,2021,Other occupations,29.529411764705884,41.411764705882355,29.05882352941176
Belgium,2021,The police,37,42,21
Belgium,2022,Other occupations,28,39.88235294117647,32.11764705882353
Belgium,2022,The police,40,41,19
Brazil,2019,Other occupations,26.705882352941178,37.8235294117647,35.470588235294116
Brazil,2019,The police,31,37,32
Brazil,2021,Other occupations,31.64705882352941,38.11764705882353,30.235294117647058
Brazil,2021,The police,30,39,31
Brazil,2022,Other occupations,30.882352941176475,32.76470588235294,36.352941176470594
Brazil,2022,The police,29,31,40
Canada,2019,Other occupations,30.764705882352942,41.529411764705884,27.70588235294118
Canada,2019,The police,52,28,20
Canada,2021,Other occupations,33.17647058823529,43.11764705882353,23.705882352941178
Canada,2021,The police,44,33,23
Canada,2022,Other occupations,33.76470588235294,39.705882352941174,26.529411764705884
Canada,2022,The police,45,33,22
Chile,2021,Other occupations,26.176470588235293,36.11764705882353,37.705882352941174
Chile,2021,The police,24,28,48
Chile,2022,Other occupations,27.94117647058824,29.647058823529413,42.411764705882355
Chile,2022,The police,32,27,41
China,2019,Other occupations,47.705882352941174,32.35294117647059,19.941176470588236
China,2019,The police,80,11,9
China,2021,Other occupations,,,
China,2021,The police,,,
China,2022,Other occupations,,,
China,2022,The police,,,
Colombia,2021,Other occupations,23.176470588235297,39.11764705882353,37.705882352941174
Colombia,2021,The police,16,32,52
Colombia,2022,Other occupations,30.35294117647059,28.941176470588236,40.705882352941174
Colombia,2022,The police,24,26,50
Denmark,2022,Other occupations,37.470588235294116,39.23529411764706,23.294117647058822
Denmark,2022,The police,58,22,20
France,2019,Other occupations,30.176470588235297,40.35294117647059,29.470588235294116
France,2019,The police,53,35,12
France,2021,Other occupations,31.176470588235297,42.94117647058823,25.882352941176475
France,2021,The police,48,36,16
France,2022,Other occupations,33.76470588235294,36.705882352941174,29.529411764705884
France,2022,The police,50,31,19
Germany,2019,Other occupations,25.823529411764703,47.23529411764706,26.94117647058824
Germany,2019,The police,49,37,14
Germany,2021,Other occupations,28.235294117647058,47.88235294117647,23.882352941176475
Germany,2021,The police,47,39,14
Germany,2022,Other occupations,33.8235294117647,38.76470588235294,27.411764705882355
Germany,2022,The police,53,30,17
Hungary,2019,Other occupations,21.352941176470594,38.8235294117647,39.82352941176471
Hungary,2019,The police,31,35,34
Hungary,2021,Other occupations,26.294117647058822,39.11764705882353,34.588235294117645
Hungary,2021,The police,35,41,24
Hungary,2022,Other occupations,23.294117647058822,36.23529411764706,40.470588235294116
Hungary,2022,The police,29,38,33
India,2019,Other occupations,37.76470588235294,33.05882352941177,29.176470588235297
India,2019,The police,33,32,35
India,2021,Other occupations,40,35.588235294117645,24.411764705882355
India,2021,The police,37,36,27
India,2022,Other occupations,45.529411764705884,26.235294117647058,28.235294117647058
India,2022,The police,41,29,30
Italy,2019,Other occupations,27.647058823529406,39.11764705882353,33.23529411764706
Italy,2019,The police,50,35,15
Italy,2021,Other occupations,29.94117647058824,39.529411764705884,30.529411764705884
Italy,2021,The police,47,36,17
Italy,2022,Other occupations,27,38.470588235294116,34.529411764705884
Italy,2022,The police,39,39,22
Japan,2019,Other occupations,19.941176470588236,53.470588235294116,26.588235294117645
Japan,2019,The police,33,46,21
Japan,2021,Other occupations,24.705882352941178,53.411764705882355,21.88235294117647
Japan,2021,The police,38,48,14
Japan,2022,Other occupations,20.529411764705884,52.411764705882355,27.058823529411764
Japan,2022,The police,31,48,21
Malaysia,2021,Other occupations,40.94117647058823,36.94117647058823,22.11764705882353
Malaysia,2021,The police,40,33,27
Malaysia,2022,Other occupations,35.23529411764706,40.8235294117647,23.94117647058824
Malaysia,2022,The police,38,37,25
Mexico,2019,Other occupations,30.647058823529406,34.470588235294116,34.88235294117648
Mexico,2019,The police,11,26,63
Mexico,2021,Other occupations,28.64705882352941,42.1764705882353,29.176470588235297
Mexico,2021,The police,15,37,48
Mexico,2022,Other occupations,31.941176470588236,32,36.05882352941177
Mexico,2022,The police,13,28,59
Netherlands,2021,Other occupations,34.05882352941177,43.11764705882353,22.823529411764703
Netherlands,2021,The police,53,33,14
Netherlands,2022,Other occupations,34.411764705882355,41.05882352941177,24.529411764705884
Netherlands,2022,The police,58,30,12
Peru,2021,Other occupations,24.470588235294116,39.8235294117647,35.705882352941174
Peru,2021,The police,22,41,37
Peru,2022,Other occupations,25.529411764705884,30.352941176470587,44.11764705882352
Peru,2022,The police,20,34,46
Poland,2019,Other occupations,26.470588235294116,35.588235294117645,37.94117647058823
Poland,2019,The police,36,34,30
Poland,2021,Other occupations,30,37.1764705882353,32.82352941176471
Poland,2021,The police,29,28,43
Poland,2022,Other occupations,22.411764705882355,35.35294117647059,42.23529411764706
Poland,2022,The police,24,36,40
Russia,2019,Other occupations,34.76470588235294,27.294117647058822,37.94117647058823
Russia,2019,The police,20,39,41
Russia,2021,Other occupations,38.05882352941177,31.941176470588236,30
Russia,2021,The police,29,33,38
Saudi Arabia,2019,Other occupations,,,
Saudi Arabia,2019,The police,,,
Saudi Arabia,2021,Other occupations,,,
Saudi Arabia,2021,The police,,,
Saudi Arabia,2022,Other occupations,,,
Saudi Arabia,2022,The police,,,
South Africa,2019,Other occupations,28.588235294117645,39.05882352941177,32.352941176470594
South Africa,2019,The police,12,28,60
South Africa,2021,Other occupations,31.647058823529413,39.35294117647059,29
South Africa,2021,The police,13,32,55
South Africa,2022,Other occupations,31.64705882352941,,
South Africa,2022,The police,16,19,65
South Korea,2019,Other occupations,18.352941176470587,47.11764705882353,34.529411764705884
South Korea,2019,The police,21,51,28
South Korea,2021,Other occupations,22.352941176470587,47.05882352941177,30.588235294117645
South Korea,2021,The police,22,43,35
South Korea,2022,Other occupations,23.764705882352942,42.705882352941174,33.529411764705884
South Korea,2022,The police,24,42,34
Spain,2019,Other occupations,26.470588235294116,36.411764705882355,37.11764705882352
Spain,2019,The police,45,35,20
Spain,2021,Other occupations,27.764705882352942,40.94117647058823,31.294117647058822
Spain,2021,The police,47,35,18
Spain,2022,Other occupations,30.235294117647054,31.41176470588235,38.352941176470594
Spain,2022,The police,50,29,21
Sweden,2019,Other occupations,29.35294117647059,43.8235294117647,26.823529411764703
Sweden,2019,The police,49,35,16
Sweden,2021,Other occupations,35.294117647058826,42.35294117647059,22.352941176470587
Sweden,2021,The police,60,24,16
Sweden,2022,Other occupations,35.705882352941174,37.88235294117647,26.411764705882355
Sweden,2022,The police,55,27,18
Turkey,2019,Other occupations,29,36,35
Turkey,2019,The police,39,31,30
Turkey,2021,Other occupations,32.76470588235294,40.705882352941174,26.529411764705884
Turkey,2021,The police,52,31,17
Turkey,2022,Other occupations,29.411764705882355,32.705882352941174,37.88235294117647
Turkey,2022,The police,42,30,28
United Kingdom,2019,Other occupations,30.058823529411764,39.64705882352941,30.29411764705882
United Kingdom,2019,The police,47,35,18
United Kingdom,2021,Other occupations,32.88235294117648,40.470588235294116,26.64705882352941
United Kingdom,2021,The police,48,32,20
United Kingdom,2022,Other occupations,35,36.35294117647059,28.64705882352941
United Kingdom,2022,The police,44,31,25
United States,2019,Other occupations,30.823529411764703,40.76470588235294,28.411764705882355
United States,2019,The police,48,31,21
United States,2021,Other occupations,35.647058823529406,37.294117647058826,27.05882352941176
United States,2021,The police,53,27,20
United States,2022,Other occupations,30.823529411764703,38.705882352941174,30.470588235294116
United States,2022,The police,41,32,27
